"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"D","Slater Koekkoek",2500,"TB@Mon 07:00PM ET",1.000,"TB"
"LW","Scott Laughton",2500,"Pit@Phi 03:00PM ET",1.375,"Phi"
"D","Michael Matheson",2500,"Car@Fla 07:00PM ET",0.500,"Fla"
"C","Brendan Gaunce",2500,"Edm@Van 10:00PM ET",1.050,"Van"
"D","Brady Skjei",2500,"Det@NYR 12:30PM ET",1.250,"NYR"
"RW","Stefan Matteau",2500,"TB@Mon 07:00PM ET",0.415,"Mon"
"LW","Brock McGinn",2500,"Car@Fla 07:00PM ET",1.205,"Car"
"RW","Colton Sissons",2500,"Nsh@Dal 08:00PM ET",1.118,"Nsh"
"C","Chris Tierney",2500,"Ari@SJ 10:30PM ET",1.443,"SJ"
"C","Devin Shore",2500,"Nsh@Dal 08:00PM ET",0.125,"Dal"
"LW","Jujhar Khaira",2500,"Edm@Van 10:00PM ET",0.700,"Edm"
"C","Oskar Sundqvist",2500,"Pit@Phi 03:00PM ET",0.974,"Pit"
"RW","Josh Anderson",2500,"Chi@Cls 07:00PM ET",1.273,"Cls"
"D","Petteri Lindbohm",2500,"Was@StL 08:00PM ET",0.909,"StL"
"LW","Buddy Robinson",2500,"Ott@Bos 12:30PM ET",2.250,"Ott"
"LW","Curtis McKenzie",2500,"Nsh@Dal 08:00PM ET",0.667,"Dal"
"D","Ryan Pulock",2500,"Buf@NYI 07:30PM ET",1.094,"NYI"
"D","Nikita Zadorov",2500,"Anh@Col 05:30PM ET",0.909,"Col"
"C","Curtis Lazar",2500,"Ott@Bos 12:30PM ET",1.480,"Ott"
"LW","Kerby Rychel",2500,"Chi@Cls 07:00PM ET",1.266,"Cls"
"C","Frederik Gauthier",2500,"Tor@NJ 07:00PM ET",1.250,"Tor"
"RW","Michael McCarron",2500,"TB@Mon 07:00PM ET",1.475,"Mon"
"C","Jason Dickinson",2500,"Nsh@Dal 08:00PM ET",4.500,"Dal"
"D","Chris Bigras",2500,"Anh@Col 05:30PM ET",0.788,"Col"
"LW","Jacob De La Rose",2500,"TB@Mon 07:00PM ET",0.860,"Mon"
"C","Laurent Dauphin",2500,"Ari@SJ 10:30PM ET",1.357,"Ari"
"D","Gustav Olofsson",2500,"Cgy@Min 07:00PM ET",0.167,"Min"
"RW","J.C. Lipon",2500,"Wpg@LA 10:00PM ET",0.278,"Wpg"
"C","Nick Paul",2500,"Ott@Bos 12:30PM ET",1.058,"Ott"
"C","Andrew Copp",2500,"Wpg@LA 10:00PM ET",0.827,"Wpg"
"D","Ben Harpur",2500,"Ott@Bos 12:30PM ET",1.250,"Ott"
"C","Tyler Gaudet",2500,"Ari@SJ 10:30PM ET",0.857,"Ari"
"D","Evgeny Medvedev",2500,"Pit@Phi 03:00PM ET",1.375,"Phi"
"D","Christian Folin",2500,"Cgy@Min 07:00PM ET",0.982,"Min"
"C","Nic Dowd",2500,"Wpg@LA 10:00PM ET",0.300,"LA"
"LW","Conor Sheary",2500,"Pit@Phi 03:00PM ET",1.279,"Pit"
"C","Dennis Rasmussen",2500,"Chi@Cls 07:00PM ET",1.042,"Chi"
"LW","Nick Ritchie",2500,"Anh@Col 05:30PM ET",1.076,"Anh"
