"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"D","Tyson Barrie",5600,"Anh@Col 05:30PM ET",3.084,"Col"
"RW","Cam Atkinson",5600,"Chi@Cls 07:00PM ET",3.343,"Cls"
"D","Johnny Boychuk",5500,"Buf@NYI 07:30PM ET",3.043,"NYI"
"RW","T.J. Oshie",5500,"Was@StL 08:00PM ET",3.158,"Was"
"LW","Boone Jenner",5500,"Chi@Cls 07:00PM ET",3.415,"Cls"
"C","Vincent Trocheck",5500,"Car@Fla 07:00PM ET",2.996,"Fla"
"LW","Tomas Hertl",5500,"Ari@SJ 10:30PM ET",3.038,"SJ"
"LW","Jussi Jokinen",5400,"Car@Fla 07:00PM ET",2.910,"Fla"
"C","Frans Nielsen",5400,"Buf@NYI 07:30PM ET",3.279,"NYI"
"RW","Kyle Palmieri",5400,"Tor@NJ 07:00PM ET",3.358,"NJ"
"LW","Jaden Schwartz",5400,"Was@StL 08:00PM ET",2.938,"StL"
"C","Tyler Johnson",5400,"TB@Mon 07:00PM ET",2.514,"TB"
"C","Henrik Zetterberg",5300,"Det@NYR 12:30PM ET",2.833,"Det"
"LW","Andrew Ladd",5300,"Chi@Cls 07:00PM ET",2.995,"Chi"
"D","Mike Green",5300,"Det@NYR 12:30PM ET",2.324,"Det"
